player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Greg Taylor,Left-Back,27,Celtic,PAOK Salonika,"Jun 30, 2025",€6.50m,28.05.2025 - 14:46,40,2025-05-30 11:21:20
Jordan Henderson,Defensive Midfield,34,Ajax,Sunderland,"Jun 30, 2026",€2.50m,28.05.2025 - 14:43,98,2025-05-30 11:21:20
Jordan Henderson,Defensive Midfield,34,Ajax,Rangers,"Jun 30, 2026",€2.50m,28.05.2025 - 14:43,0,2025-05-30 11:21:20
Leroy Sané,Right Winger,29,Bayern Munich,Tottenham,"Jun 30, 2025",€38.00m,28.05.2025 - 14:41,0,2025-05-30 11:21:20
Daizen Maeda,Left Winger,27,Celtic,Fenerbahce,"May 31, 2027",€11.00m,28.05.2025 - 14:40,0,2025-05-30 11:21:20
Youssef El Kachati,Centre-Forward,25,Telstar,Celtic,"Jun 30, 2025",€400k,28.05.2025 - 14:31,0,2025-05-30 11:21:20
Yuri Alberto,Centre-Forward,24,Corinthians,Sporting CP,"Dec 31, 2027",€16.00m,28.05.2025 - 14:15,85,2025-05-30 11:21:20
George Bello,Left-Back,23,LASK,Rangers,"Jun 30, 2026",€2.00m,28.05.2025 - 14:12,0,2025-05-30 11:21:20
Omar Sijaric,Right Winger,23,Erzgebirge Aue,HNK Rijeka,"Jun 30, 2025",€300k,28.05.2025 - 14:12,0,2025-05-30 11:21:20
Keita Kosugi,Left-Back,19,Djurgården,Atalanta BC,"Dec 31, 2027",€2.00m,28.05.2025 - 14:10,0,2025-05-30 11:21:20
Keita Kosugi,Left-Back,19,Djurgården,Paris SG,"Dec 31, 2027",€2.00m,28.05.2025 - 14:09,0,2025-05-30 11:21:20
Keita Kosugi,Left-Back,19,Djurgården,Celtic,"Dec 31, 2027",€2.00m,28.05.2025 - 14:09,0,2025-05-30 11:21:20
Vaclav Cerny,Right Winger,27,VfL Wolfsburg,Trabzonspor,"Jun 30, 2025",€9.00m,28.05.2025 - 14:06,0,2025-05-30 11:21:20
Oskar Fallenius,Right Winger,23,Djurgården,Celtic,"Dec 31, 2026",€400k,28.05.2025 - 13:30,0,2025-05-30 11:21:20
Veljko Milosavljevic,Centre-Back,17,Red Star,Celtic,"Jun 30, 2027",€600k,28.05.2025 - 13:28,98,2025-05-30 11:21:20
Lennon Miller,Central Midfield,18,Motherwell FC,Celtic,"May 31, 2026",€4.00m,28.05.2025 - 13:27,0,2025-05-30 11:21:20
Million Manhoef,Right Winger,23,Stoke City,Celtic,"Jun 30, 2027",€3.80m,28.05.2025 - 13:27,0,2025-05-30 11:21:20
Sondre Ørjasæter,Left Winger,21,Sarpsborg 08,Celtic,"Dec 31, 2028",€6.00m,28.05.2025 - 13:26,95,2025-05-30 11:21:20
Raúl Moro,Left Winger,22,Real Valladolid,Celtic,"Jun 30, 2028",€5.00m,28.05.2025 - 13:25,0,2025-05-30 11:21:20
Michel-Ange Balikwisha,Left Winger,24,Royal Antwerp,Celtic,"Jun 30, 2026",€5.50m,28.05.2025 - 13:24,0,2025-05-30 11:21:20
Mathias Kvistgaarden,Centre-Forward,23,Bröndby IF,Celtic,"Jun 30, 2027",€8.00m,28.05.2025 - 13:23,24,2025-05-30 11:21:20
Arne Engels,Central Midfield,21,FC Augsburg,Celtic,"Jun 30, 2028",€12.00m,28.05.2025 - 13:22,0,2025-05-30 11:21:20
Soufiane El-Faouzi,Attacking Midfield,22,Alem. Aachen,Heart of Midl.,"Jun 30, 2026",€250k,28.05.2025 - 13:20,0,2025-05-30 11:21:20
Nikola Stevanovic,Centre-Back,26,Otelul Galati,CS U Craiova,"Jun 30, 2026",€650k,28.05.2025 - 13:14,65,2025-05-30 11:21:20
Cristiano Ronaldo,Centre-Forward,40,Al-Nassr,Wydad AC,"Jun 30, 2025",€12.00m,28.05.2025 - 13:07,28,2025-05-30 11:21:20
Nordin Amrabat,Right Winger,38,Hull City,Wydad AC,"Jun 30, 2025",€150k,28.05.2025 - 13:05,95,2025-05-30 11:21:20
Ludovit Reis,Central Midfield,24,Hamburger SV,Club Brugge,"Jun 30, 2026",€3.50m,28.05.2025 - 12:52,0,2025-05-30 11:21:20
Evann Guessand,Centre-Forward,23,OGC Nice,Brighton,"Jun 30, 2028",€25.00m,28.05.2025 - 12:51,0,2025-05-30 11:21:20
Kjell Peersman,Goalkeeper,21,PSV U21,KAA Gent,"Jun 30, 2025",€500k,28.05.2025 - 12:28,0,2025-05-30 11:21:20
Axel Witsel,Centre-Back,36,Atlético Madrid,Standard Liège,"Jun 30, 2025",€2.50m,28.05.2025 - 12:27,0,2025-05-30 11:21:20
